URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_DATE_DIFF,DNS_QUERY_TIMES,Type
16,7,iso-8859-1,nginx,263,Unknown,Unknown,-1,2,1
16,6,UTF-8,Apache/2.4.10,15087,Unknown,Unknown,-1,0,-1
16,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,-1,0,-1
17,6,ISO-8859-1,nginx,162,US,AK,5818,8,-1
17,6,UTF-8,Unknown,124140,US,TX,7639,4,-1
18,7,UTF-8,nginx,-1,SC,Mahe,60,0,-1
18,6,iso-8859-1,Apache/2,345,US,CO,5086,2,-1
19,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,7306,0,-1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,-1,2,1
20,5,utf-8,nginx/1.10.1,-1,Unknown,Unknown,-1,2,1
20,6,utf-8,Apache,-1,US,Kansas,2917,0,-1
20,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,1,0,-1
20,7,utf-8,Unknown,13716,GB,Unknown,5109,4,-1
20,6,ISO-8859-1,nginx,3692,Unknown,Unknown,4539,10,-1
20,7,ISO-8859-1,Apache/2.2.15 (Red Hat),13054,Unknown,Unknown,-1,0,-1
21,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957,UK,Unknown,5466,4,1
21,7,iso-8859-1,nginx,686,RU,Novosibirskaya obl.,1094,2,1
21,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,5664,0,-1
21,6,utf-8,nginx,15025,Unknown,Unknown,-1,2,-1
22,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,1259,2,1
22,6,utf-8,openresty/1.11.2.1,-1,US,CA,5879,4,-1
22,6,iso-8859-1,nginx,318,US,Tennessee,4257,0,-1
22,6,iso-8859-1,Apache/2.2.22,224,Unknown,Unknown,2891,0,-1
22,7,utf-8,Apache/2.4.7 (Ubuntu),4421,AU,Vi,2551,4,-1
22,6,UTF-8,nginx/1.12.0,-1,US,FL,4982,4,-1
22,6,ISO-8859-1,Apache,441,US,OR,4431,0,-1
22,6,ISO-8859-1,nginx/1.12.0,-1,US,Texas,4018,0,-1
22,6,utf-8,nginx,6671,CA,ALBERTA,5902,0,-1
23,6,utf-8,Apache,-1,US,FL,3274,2,-1
23,6,iso-8859-1,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,434,PA,PANAMA,3293,0,-1
23,6,us-ascii,Microsoft-HTTPAPI/2.0,324,se,Unknown,5815,0,-1
23,6,utf-8,nginx,13001,Unknown,Unknown,-1,0,-1
23,7,ISO-8859-1,Oracle-iPlanet-Web-Server/7.0,3257,Unknown,Unknown,6040,0,-1
23,6,ISO-8859-1,Unknown,6748,US,Arizona,6309,0,-1
23,7,UTF-8,nginx,-1,Unknown,Unknown,-1,0,-1
23,6,Unknown,Unknown,-1,US,TX,7279,4,-1
23,6,UTF-8,Unknown,-1,GB,Unknown,2758,4,-1
23,6,UTF-8,Unknown,-1,US,WI,6303,4,-1
23,6,UTF-8,cloudflare-nginx,-1,US,Oregon,6486,4,-1
23,6,ISO-8859-1,nginx/1.12.0,-1,IN,Andhra Pradesh,5115,4,-1
23,6,iso-8859-1,Apache,240,US,CA,2923,2,-1
23,6,ISO-8859-1,Apache,3985,CA,AB,5115,6,-1
23,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,3998,0,-1
24,8,ISO-8859-1,nginx/1.6.2,6173,Unknown,Unknown,-1,0,1
24,9,iso-8859-1,Apache,319,IN,Tamil Nadu,-1,2,1
24,6,utf-8,openresty,-1,LU,Unknown,3994,12,-1
24,6,ISO-8859-1,Unknown,34,US,VA,7388,4,-1
24,7,utf-8,nginx,-1,US,NY,8016,4,-1
24,6,utf-8,Heptu web server,1778,Unknown,Unknown,5419,0,-1
24,6,utf-8,Pepyaka/1.11.3,-1,Unknown,Unknown,367,0,-1
24,6,us-ascii,Microsoft-HTTPAPI/2.0,324,CA,quebec,2193,0,-1
24,8,iso-8859-1,Apache/2.2.22,224,US,MA,2871,4,-1
24,6,utf-8,nginx/1.8.0,-1,CA,ON,5113,4,-1
24,7,iso-8859-1,Apache,318,Unknown,Unknown,-1,4,-1
24,7,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,Unknown,Unknown,8034,6,-1
24,6,iso-8859-1,Apache/2,345,US,New Mexico,3289,2,-1
24,6,UTF-8,Apache,756,PA,PANAMA,6794,4,-1
25,6,utf-8,Apache/2.2.29 (Amazon),-1,CA,British Columbia,4318,0,-1
25,7,utf-8,nginx,-1,US,NY,8016,0,-1
25,6,UTF-8,nginx,14839,US,NY,4351,0,-1
25,6,us-ascii,Microsoft-IIS/7.5,324,US,Massachusetts,3289,0,-1
25,6,UTF-8,LiteSpeed,-1,Unknown,Unknown,3214,0,-1
25,6,UTF-8,Apache,-1,US,California,3648,4,-1
25,6,UTF-8,nginx,658,Unknown,Unknown,-1,4,-1
25,6,UTF-8,Unknown,-1,TH,bangkok,2507,4,-1
25,6,ISO-8859-1,Apache,-1,US,CA,7246,6,-1
25,6,UTF-8,Apache,195,GB,WEST MIDLANDS,159,0,-1
25,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,65,0,-1
25,6,ISO-8859-1,Apache,-1,US,California,2554,0,-1
26,8,UTF-8,nginx,-1,Unknown,Unknown,-1,2,1
26,8,utf-8,nginx,-1,Unknown,Unknown,-1,2,1
26,7,ISO-8859-1,nginx/1.12.0,4166,US,TEXAS,2922,6,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,5775,2,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,5480,4,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,5480,4,1
26,6,utf-8,nginx,2688,US,Kentucky,6683,0,-1
26,7,UTF-8,cloudflare-nginx,-1,US,MD,6109,0,-1
26,6,UTF-8,nginx,-1,CA,ON,5488,0,-1
26,6,iso-8859-1,Apache,199,PA,PANAMA,3260,0,-1
26,6,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548,Unknown,Unknown,6940,6,-1
26,7,utf-8,nginx,-1,US,NY,8016,4,-1
26,6,Unknown,tsa_c,0,US,CA,6136,10,-1
26,6,ISO-8859-1,nginx/1.12.0,5426,US,NEW YORK,2863,0,-1
26,7,utf-8,Apache/2.2.0 (Fedora),-1,Unknown,Unknown,5906,0,-1
26,6,UTF-8,Unknown,-1,CA,British Columbia,6824,0,-1
26,6,iso-8859-1,Apache/2,345,US,FL,5054,4,-1
26,7,utf-8,nginx,-1,US,NY,8016,4,-1
26,7,utf-8,nginx,-1,US,NY,8016,4,-1
26,6,utf-8,cloudflare-nginx,-1,US,Washington,6139,4,-1
26,6,ISO-8859-1,nginx/1.12.0,-1,US,Colorado,1765,0,-1
26,6,us-ascii,Unknown,324,US,TX,5089,0,-1
26,6,UTF-8,cloudflare-nginx,-1,US,PA,8370,0,-1
26,6,UTF-8,nginx,-1,US,LA,2204,0,-1
26,6,utf-8,nginx/1.12.0,-1,US,Arizona,2870,0,-1
27,7,UTF-8,Apache/2.2.22 (Debian),8756,GB,WC1N,5723,6,1
27,7,UTF-8,Apache,193,US,PA,774,2,1
27,8,UTF-8,nginx,-1,US,WA,488,0,-1
27,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,1,0,-1
27,6,utf-8,openresty/1.11.2.1,-1,US,TEXAS,2678,0,-1
27,6,UTF-8,Apache/2.2.15 (CentOS),-1,AU,Queensland,2254,6,-1
27,6,UTF-8,Apache/2.4.25,7967,Unknown,Unknown,7301,2,-1
27,7,ISO-8859-1,Apache,11506,US,FL,6883,0,-1
28,9,UTF-8,Apache/2.2.15 (CentOS),-1,RU,MOSCOW,3286,2,1
28,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,3645,4,1
28,8,utf-8,nginx,39036,[u'GB'; u'UK'],UK,5465,0,-1
28,6,ISO-8859-1,Unknown,-1,US,CA,7185,0,-1
28,7,iso-8859-1,Apache,-1,FR,Unknown,2921,0,-1
28,7,ISO-8859-1,cloudflare-nginx,-1,NL,P,6306,0,-1
28,7,us-ascii,Unknown,-1,US,NH,4371,0,-1
28,7,ISO-8859-1,cloudflare-nginx,-1,NL,P,6306,0,-1
28,6,us-ascii,Microsoft-IIS/7.5,324,US,Pennsylvania,6741,0,-1
28,7,utf-8,Apache,8578,CA,ON,7669,8,-1
28,6,UTF-8,Apache,10576,IN,UTTAR PRADESH,2074,0,-1
28,7,us-ascii,Microsoft-IIS/7.5,324,Unknown,Unknown,222,6,-1
28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846,US,NC,5998,6,-1
28,7,UTF-8,GSE,6666,US,CA,5812,4,-1
28,6,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445,US,FL,5437,2,-1
28,8,UTF-8,Apache,-1,US,Arizona,2885,2,-1
28,7,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,-1,6,-1
28,6,utf-8,Pepyaka/1.11.3,-1,US,NY,5937,0,-1
28,6,utf-8,Unknown,-1,US,CA,6903,4,-1
28,6,UTF-8,nginx,18438,US,California,2888,0,-1
29,7,ISO-8859-1,Apache,7314,US,MD,2514,6,1
29,7,us-ascii,Microsoft-HTTPAPI/2.0,324,UG,kireka,5488,2,1
29,6,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
29,6,Unknown,tsa_c,0,US,CA,6136,0,-1
29,8,ISO-8859-1,Apache,9136,US,CA,7977,0,-1
29,6,UTF-8,Apache,5019,US,IL,3986,0,-1
29,7,utf-8,nginx,-1,US,NY,8016,0,-1
29,6,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210,US,Missouri,3469,0,-1
29,6,UTF-8,Apache/2.2.22 (Debian),8654,JP,Osaka,0,0,-1
29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),238,CA,QC,7672,0,-1
29,6,ISO-8859-1,Apache,26856,Unknown,Unknown,5115,4,-1
29,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,Michigan,366,0,-1
29,7,UTF-8,Apache/2.2.22,-1,CA,AB,4354,0,-1
29,6,UTF-8,Apache,10210,US,CA,4480,0,-1
29,6,ISO-8859-1,Apache,13684,US,Maryland,2962,0,-1
29,6,us-ascii,Unknown,324,CA,Ontario,4750,0,-1
29,6,iso-8859-1,nginx/1.12.0,770,US,South Carolina,1813,0,-1
29,8,UTF-8,Apache/2.4.25,6813,US,Texas,3704,0,-1
29,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,6578,4,-1
29,6,ISO-8859-1,Unknown,34,US,California,6575,2,-1
29,7,ISO-8859-1,Apache,-1,US,CA,7246,6,-1
29,8,UTF-8,GSE,20404,US,CA,5812,4,-1
29,8,UTF-8,Tengine,-1,CN,Zhejiang,4815,8,-1
29,6,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159,US,Arizona,4424,2,-1
29,6,utf-8,Apache/2.2.15 (CentOS),-1,US,New Mexico,4430,4,-1
29,6,iso-8859-1,Apache,388,US,New York,2707,0,-1
29,6,ISO-8859-1,Apache/2,199,Unknown,Unknown,5120,0,-1
29,8,us-ascii,Microsoft-HTTPAPI/2.0,324,AU,QLD,247,0,-1
29,6,ISO-8859-1,nginx/1.12.0,-1,CA,ON,4018,0,-1
29,6,utf-8,Unknown,-1,US,CA,6903,0,-1
30,8,iso-8859-1,Apache,177,Unknown,Unknown,-1,2,1
30,6,utf-8,Apache/2.4.10 (Debian),-1,SE,Unknown,6445,0,-1
30,6,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199,US,MA,1496,0,-1
30,7,utf-8,nginx,-1,US,NY,8016,4,-1
30,6,ISO-8859-1,Unknown,-1,US,CA,7185,14,-1
30,6,ISO-8859-1,Apache,-1,US,CA,7246,6,-1
30,6,ISO-8859-1,Sun-ONE-Web-Server/6.1,-1,Unknown,Unknown,4693,0,-1
30,6,Unknown,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,-1,US,WI,7300,0,-1
30,6,UTF-8,Apache,14703,US,Texas,5510,0,-1
30,6,UTF-8,nginx,8751,US,FL,157,4,-1
30,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NJ,5853,2,-1
30,7,ISO-8859-1,Apache,-1,US,CA,7246,6,-1
30,6,utf-8,Unknown,-1,US,CA,6903,8,-1
30,6,ISO-8859-1,Unknown,-1,US,CA,7185,12,-1
30,7,utf-8,AmazonS3,350,US,Arizona,5035,4,-1
30,7,ISO-8859-1,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,-1,US,GA,7601,4,-1
30,8,UTF-8,cloudflare-nginx,-1,US,CA,4343,0,-1
30,6,utf-8,Unknown,-1,US,CA,6903,0,-1
30,7,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
31,7,us-ascii,Microsoft-IIS/7.5,324,US,CA,5459,4,1
31,8,utf-8,ATS,604,US,CA,7525,0,-1
31,7,iso-8859-1,Apache/2.2.27 (CentOS),287,Unknown,Unknown,732,0,-1
31,7,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
31,8,utf-8,Apache,65815,US,MO,7462,0,-1
31,6,ISO-8859-1,Unknown,-1,US,CA,7185,12,-1
31,6,UTF-8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,-1,Unknown,Unknown,6095,0,-1
31,7,utf-8,CherryPy/3.6.0,4075,CA,ON,7304,0,-1
31,8,iso-8859-1,Apache/2.2.15 (CentOS),287,IN,HR,4191,4,-1
31,7,utf-8,nginx,-1,US,NY,8016,4,-1
31,7,UTF-8,Apache/2.2.15 (Red Hat),5132,US,FL,4372,6,-1
31,6,us-ascii,Microsoft-IIS/7.5,324,US,Missouri,4018,6,-1
31,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,-1,4,-1
31,6,ISO-8859-1,Apache,-1,Unknown,Unknown,7246,6,-1
31,8,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,6854,2,-1
31,6,UTF-8,Apache,-1,US,MD,3597,2,-1
31,7,ISO-8859-1,Unknown,-1,US,CA,7185,12,-1
31,7,utf-8,Apache,22004,US,CA,3986,0,-1
31,6,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
31,7,iso-8859-1,Apache/2,345,US,Texas,5843,0,-1
32,11,UTF-8,nginx,643,Unknown,Unknown,-1,8,1
32,9,UTF-8,nginx,637,Unknown,Unknown,-1,6,1
32,8,UTF-8,Server,-1,US,WA,7426,0,-1
32,6,ISO-8859-1,Unknown,34,US,Missouri,5,0,-1
32,8,UTF-8,Server,-1,US,WA,7426,0,-1
32,9,utf-8,KHL,420762,Unknown,Unknown,-1,2,-1
32,8,ISO-8859-1,Apache,1399,US,CA,3296,0,-1
32,6,UTF-8,Apache,-1,CA,ab,2193,0,-1
32,7,UTF-8,nginx,-1,US,NY,2953,0,-1
32,7,UTF-8,nginx,-1,US,CA,6159,6,-1
32,7,ISO-8859-1,Unknown,-1,US,CA,7185,12,-1
32,8,UTF-8,Apache,-1,Unknown,Unknown,3218,4,-1
32,6,utf-8,Unknown,-1,Unknown,Unknown,6903,0,-1
32,8,utf-8,Microsoft-IIS/7.5,328,UK,Greater London,187,0,-1
32,7,UTF-8,Apache,-1,US,Illinois,5690,8,-1
32,8,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,6197,0,-1
32,6,iso-8859-1,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,199,US,Kansas,3053,0,-1
32,8,iso-8859-1,Apache,334,SI,--,2497,2,-1
32,7,iso-8859-1,Apache/2.2.3 (CentOS),287,US,MO,6689,2,-1
32,7,utf-8,Apache,20212,US,CA,3986,6,-1
32,8,UTF-8,Server,-1,US,WA,7426,4,-1
32,8,UTF-8,Server,-1,US,WA,7426,4,-1
32,7,utf-8,Unknown,-1,Unknown,Unknown,3652,4,-1
32,7,UTF-8,GSE,11827,US,CA,5812,4,-1
32,8,ISO-8859-1,nginx/1.12.0,1108,US,California,4383,4,-1
32,7,us-ascii,Unknown,324,US,Arizona,2833,0,-1
33,11,UTF-8,nginx,646,Unknown,Unknown,-1,4,1
33,9,UTF-8,nginx,637,Unknown,Unknown,-1,8,1
33,9,UTF-8,nginx,640,Unknown,Unknown,-1,6,1
33,9,UTF-8,nginx,643,Unknown,Unknown,-1,0,1
33,9,UTF-8,nginx,-1,Unknown,Unknown,-1,4,1
33,11,utf-8,nginx,-1,Unknown,Unknown,1929,4,1
33,7,utf-8,cloudflare-nginx,-1,US,NY,7665,0,-1
33,8,UTF-8,Server,-1,US,WA,7426,0,-1
33,8,UTF-8,Server,-1,US,WA,7426,0,-1
33,6,utf-8,Unknown,-1,US,CA,6903,0,-1
33,6,iso-8859-1,Apache,-1,JP,Fukuoka,1083,0,-1
33,6,utf-8,Apache/2.4,19890,CA,BC,6214,0,-1
33,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,US,California,8034,0,-1
33,9,utf-8,Unknown,18302,US,CA,7272,0,-1
33,7,iso-8859-1,Apache,318,JP,Osaka,4,0,-1
33,8,UTF-8,Server,-1,US,WA,7426,4,-1
33,7,iso-8859-1,Apache/1.3.27 (Unix)  (Red-Hat/Linux) mod_perl/1.26 PHP/4.3.3 FrontPage/5.0.2 mod_ssl/2.8.12 OpenSSL/0.9.6b,-1,Unknown,Unknown,6110,0,-1
33,6,utf-8,Apache,-1,US,Texas,3949,0,-1
33,8,UTF-8,mw2114.codfw.wmnet,-1,US,CA,5446,8,-1
33,7,UTF-8,GSE,60722,US,CA,5812,0,-1
33,6,UTF-8,Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.10.1,-1,US,Arizona,5192,0,-1
33,6,ISO-8859-1,Apache/1.3.34 (Unix) PHP/4.4.4,-1,US,FL,4003,0,-1
33,8,UTF-8,Server,-1,US,WA,7426,0,-1
33,6,UTF-8,Microsoft-IIS/7.5,39,US,AL,1405,4,-1
33,8,UTF-8,Apache/2.2.31 (Amazon),1371,IL,Unknown,5115,8,-1
33,7,UTF-8,Jetty(9.0.z-SNAPSHOT),-1,US,NY,6459,6,-1
33,6,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
34,11,UTF-8,nginx,655,Unknown,Unknown,-1,8,1
34,11,UTF-8,nginx,649,Unknown,Unknown,-1,6,1
34,9,ISO-8859-1,cloudflare-nginx,-1,ru,Krasnoyarsk,2221,6,1
34,9,iso-8859-1,Apache,214,Unknown,Unknown,-1,2,1
34,6,UTF-8,nginx/1.12.0,18298,US,MAINE,3288,0,-1
34,7,us-ascii,Microsoft-HTTPAPI/2.0,324,GB,Unknown,6058,0,-1
34,7,ISO-8859-1,Unknown,1819,US,CA,5206,0,-1
34,7,ISO-8859-1,Unknown,1819,US,CA,5206,8,-1
34,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,US,California,8034,0,-1
34,6,utf-8,Unknown,-1,US,CA,6903,0,-1
34,7,ISO-8859-1,Apache/2.2.31 (CentOS),-1,CA,ALBERTA,2557,0,-1
34,7,UTF-8,nginx,-1,US,CA,6159,0,-1
34,7,utf-8,Apache/2.4.10 (Debian),6474,US,Virginia,1232,0,-1
34,7,utf-8,nginx,-1,CA,ON,6457,0,-1
34,6,utf-8,Unknown,-1,Unknown,Unknown,6903,0,-1
34,7,UTF-8,cloudflare-nginx,-1,IN,MH,3653,0,-1
34,9,ISO-8859-1,Apache,1486,GB,Unknown,2916,0,-1
34,9,UTF-8,Apache/2.4.12 (Ubuntu),10892,Unknown,Unknown,7259,0,-1
34,9,ISO-8859-1,HTTPDaemon,-1,US,WA,7426,0,-1
34,8,utf-8,Apache/2.2.31 (Amazon),7255,Unknown,Unknown,4175,6,-1
34,7,UTF-8,GSE,6608,US,CA,5812,4,-1
34,6,utf-8,Unknown,-1,US,CA,6903,8,-1
34,9,ISO-8859-1,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,111,US,California,4384,2,-1
34,6,ISO-8859-1,Apache,-1,US,CA,7246,6,-1
34,8,ISO-8859-1,nginx,996,US,CA,4118,4,-1
34,7,ISO-8859-1,nginx,1501,US,New York,4537,6,-1
34,7,utf-8,MediaFire,-1,US,Texas,5076,0,-1
34,7,ISO-8859-1,Apache,-1,US,CA,7246,0,-1
34,6,us-ascii,Microsoft-IIS/7.5,324,US,Arizona,4743,0,-1
35,9,ISO-8859-1,Apache,7314,Unknown,Unknown,2514,6,1
35,9,ISO-8859-1,Apache,7314,Unknown,Unknown,2514,6,1
35,11,UTF-8,Apache,-1,CA,ON,2917,2,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,6,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,8,1
35,9,UTF-8,nginx,646,Unknown,Unknown,-1,4,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,6,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,6,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,6,1
35,11,UTF-8,nginx,652,Unknown,Unknown,-1,8,1
35,8,ISO-8859-1,cloudflare-nginx,-1,ru,Krasnoyarsk,2441,6,1
35,9,ISO-8859-1,DOSarrest,-1,KY,GRAND CAYMAN,7547,0,-1
35,8,UTF-8,mw2232.codfw.wmnet,4685,US,CA,5446,0,-1
35,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,US,California,8034,0,-1
35,6,us-ascii,Microsoft-IIS/7.5,324,Unknown,Unknown,1097,2,-1
35,8,UTF-8,Server,-1,US,WA,7426,4,-1
35,9,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CA,6720,4,-1
35,9,utf-8,nginx,39362,[u'GB'; u'UK'],UK,5465,0,-1
35,7,utf-8,nginx,-1,US,NY,8016,0,-1
35,9,UTF-8,Apache,-1,US,Arizona,2482,0,-1
35,10,utf-8,ATS,-1,US,CA,7525,0,-1
35,7,UTF-8,Sucuri/Cloudproxy,14462,CA,ON,2547,0,-1
35,9,UTF-8,Apache,-1,Unknown,Unknown,-1,0,-1
